,_id,CATEGORY,DASH_CATEGORY
327,5f2bca21ba0be61b0c1cbf66,LAUSD,D1
334,5f2bca21ba0be61b0c1cbfb9,LAUSD,D1
338,5f2bca21ba0be61b0c1cbfe9,Oakland Unified School District,D1
340,5f2bca21ba0be61b0c1cc008,Chula Vista Elementary School District,D1
345,5f2bca21ba0be61b0c1cc081,LAUSD,D1
349,5f2bca22ba0be61b0c1cc0bb,Oakland Unified School District,D1
350,5f2bca22ba0be61b0c1cc0ce,Chula Vista Elementary School District,D1
354,5f2bca22ba0be61b0c1cc0fa,Oakland Unified School District,D1
356,5f2bca22ba0be61b0c1cc11c,Goleta District,D1
358,5f2bca22ba0be61b0c1cc158,LAUSD,D1
360,5f2bca22ba0be61b0c1cc172,LAUSD,D1
362,5f2bca22ba0be61b0c1cc186,LAUSD,D1
363,5f2bca22ba0be61b0c1cc18c,Goleta District,D1
364,5f2bca22ba0be61b0c1cc191,Oakland Unified School District,D1
365,5f2bca22ba0be61b0c1cc1a4,Oakland Unified School District,D1
367,5f2bca22ba0be61b0c1cc1c2,Oakland Unified School District,D1
369,5f2bca22ba0be61b0c1cc1db,LAUSD,D1
372,5f2bca22ba0be61b0c1cc1eb,NULL,D1
374,5f2bca22ba0be61b0c1cc1f1,Oakland Unified School District,D1
376,5f2bca22ba0be61b0c1cc20f,LAUSD,D1
379,5f2bca22ba0be61b0c1cc245,Chico Unified School District,D1
381,5f2bca22ba0be61b0c1cc24a,LAUSD,D1
382,5f2bca22ba0be61b0c1cc25e,Fairfield-Suisun Unified School District,D1
385,5f2bca22ba0be61b0c1cc27f,San Diego Unified School District,D1
386,5f2bca22ba0be61b0c1cc282,Chula Vista Elementary School District,D1
388,5f2bca22ba0be61b0c1cc29d,LAUSD,D1
389,5f2bca22ba0be61b0c1cc2ae,LAUSD,D1
390,5f2bca22ba0be61b0c1cc2b9,LAUSD,D1
397,5f2bca22ba0be61b0c1cc308,LAUSD,D1
399,5f2bca22ba0be61b0c1cc320,LAUSD,D1
400,5f2bca22ba0be61b0c1cc335,NULL,D1
402,5f2bca22ba0be61b0c1cc352,Oakland Unified School District,D1
403,5f2bca22ba0be61b0c1cc38f,Oakland Unified School District,D1
404,5f2bca22ba0be61b0c1cc39d,Oakland Unified School District,D1
407,5f2bca22ba0be61b0c1cc3c6,NULL,D1
409,5f2bca22ba0be61b0c1cc3cf,LAUSD,D1
410,5f2bca22ba0be61b0c1cc3d2,LAUSD,D1
412,5f2bca22ba0be61b0c1cc3f6,LAUSD,D1
413,5f2bca22ba0be61b0c1cc3f9,LAUSD,D1
415,5f2bca22ba0be61b0c1cc40c,LAUSD,D1
