SCHOOL_ID,SCHOOL_NAME,ACTIVE_USER_SCORE_SCHOOL,USAGE_SCORE_SCHOOL,CWP_SCORE_SCHOOL,RE_SCORE_SCHOOL,E_SCORE_SCHOOL,ACTIVE_SCHOOL,SCORE_TYPE
5f2bca46ba0be61b0c1d3646,CLIFFORD M. GRANGER SCHOOL,28.0,26.0,41.0,48.0,36.0,1,26-50
5f2bca46ba0be61b0c1d383d,JAMES CLARK SCHOOL,18.0,27.0,7.0,26.0,20.0,1,0-25
5f2bcad8ba0be61b0c1e9d49,ROBINSON PARK SCHOOL,22.0,28.0,35.0,38.0,31.0,1,26-50
5f2bcad8ba0be61b0c1e9f72,PHELPS ELEMENTARY SCHOOL,46.0,29.0,28.0,47.0,38.0,1,26-50
5f2bcad8ba0be61b0c1ea034,ROBERTA DOERING MIDDLE SCHOOL,9.0,20.0,7.0,29.0,16.0,1,0-25
5f2bcadaba0be61b0c1ea1c8,AGAWAM HIGH SCHOOL,9.0,22.0,10.0,25.0,16.0,1,0-25
5f2bcadaba0be61b0c1ea1cb,AGAWAM JUNIOR HIGH SCHOOL,16.0,27.0,8.0,21.0,18.0,1,0-25
