,_id,CATEGORY,DASH_CATEGORY
453,5f2bca23ba0be61b0c1cc5af,NULL,M1
456,5f2bca23ba0be61b0c1cc5c5,NULL,M1
458,5f2bca23ba0be61b0c1cc5d7,NULL,M1
491,5f2bca23ba0be61b0c1cc6be,NULL,M1
499,5f2bca23ba0be61b0c1cc748,NULL,M1
503,5f2bca23ba0be61b0c1cc761,NULL,M1
504,5f2bca23ba0be61b0c1cc763,NULL,M1
507,5f2bca23ba0be61b0c1cc79f,NULL,M1
509,5f2bca23ba0be61b0c1cc7ad,NULL,M1
512,5f2bca24ba0be61b0c1cc7d7,NULL,M1
515,5f2bca24ba0be61b0c1cc81b,NULL,M1
520,5f2bca24ba0be61b0c1cc836,NULL,M1
526,5f2bca25ba0be61b0c1cc8a9,NULL,M1
530,5f2bca25ba0be61b0c1cc8f3,NULL,M1
546,5f2bca25ba0be61b0c1cc9a2,NULL,M1
547,5f2bca25ba0be61b0c1cc9a7,NULL,M1
554,5f2bca25ba0be61b0c1cca2e,NULL,M1
558,5f2bca25ba0be61b0c1cca62,NULL,M1
561,5f2bca25ba0be61b0c1cca8d,NULL,M1
564,5f2bca25ba0be61b0c1ccacf,NULL,M1
573,5f2bca25ba0be61b0c1ccb62,NULL,M1
574,5f2bca25ba0be61b0c1ccb6c,NULL,M1
577,5f2bca25ba0be61b0c1ccb75,NULL,M1
578,5f2bca25ba0be61b0c1ccb78,NULL,M1
579,5f2bca25ba0be61b0c1ccb7c,NULL,M1
581,5f2bca25ba0be61b0c1ccb8d,NULL,M1
582,5f2bca25ba0be61b0c1ccb99,NULL,M1
584,5f2bca25ba0be61b0c1ccba4,NULL,M1
587,5f2bca25ba0be61b0c1ccbb1,NULL,M1
589,5f2bca25ba0be61b0c1ccbcb,NULL,M1
590,5f2bca25ba0be61b0c1ccbd5,NULL,M1
601,5f2bca25ba0be61b0c1ccc61,NULL,M1
602,5f2bca25ba0be61b0c1ccc63,NULL,M1
603,5f2bca26ba0be61b0c1ccc7a,NULL,M1
607,5f2bca26ba0be61b0c1ccc8b,NULL,M1
612,5f2bca26ba0be61b0c1cccbd,NULL,M1
613,5f2bca26ba0be61b0c1cccc6,NULL,M1
614,5f2bca26ba0be61b0c1cccc7,NULL,M1
616,5f2bca26ba0be61b0c1ccce3,NULL,M1
621,5f2bca26ba0be61b0c1ccd13,NULL,M1
623,5f2bca26ba0be61b0c1ccd1a,NULL,M1
625,5f2bca26ba0be61b0c1ccd3d,NULL,M1
631,5f2bca26ba0be61b0c1ccd60,NULL,M1
653,5f2bca26ba0be61b0c1cceae,NULL,M1
657,5f2bca26ba0be61b0c1cced1,NULL,M1
662,5f2bca26ba0be61b0c1ccf46,NULL,M1
667,5f2bca26ba0be61b0c1ccf82,NULL,M1
668,5f2bca26ba0be61b0c1ccf99,NULL,M1
670,5f2bca26ba0be61b0c1ccfb0,NULL,M1
673,5f2bca26ba0be61b0c1ccfc8,NULL,M1
674,5f2bca26ba0be61b0c1ccfd5,NULL,M1
677,5f2bca26ba0be61b0c1ccffc,NULL,M1
684,5f2bca27ba0be61b0c1cd069,NULL,M1
686,5f2bca27ba0be61b0c1cd0b1,NULL,M1
687,5f2bca27ba0be61b0c1cd0cb,NULL,M1
691,5f2bca27ba0be61b0c1cd0d9,NULL,M1
704,5f2bca27ba0be61b0c1cd18b,NULL,M1
707,5f2bca27ba0be61b0c1cd1be,NULL,M1
708,5f2bca27ba0be61b0c1cd1c0,NULL,M1
710,5f2bca27ba0be61b0c1cd1de,NULL,M1
714,5f2bca27ba0be61b0c1cd20e,NULL,M1
715,5f2bca27ba0be61b0c1cd215,NULL,M1
718,5f2bca27ba0be61b0c1cd224,NULL,M1
723,5f2bca27ba0be61b0c1cd256,NULL,M1
731,5f2bca27ba0be61b0c1cd2c3,NULL,M1
732,5f2bca27ba0be61b0c1cd2d7,NULL,M1
733,5f2bca27ba0be61b0c1cd2e9,NULL,M1
741,5f2bca27ba0be61b0c1cd393,NULL,M1
751,5f2bca28ba0be61b0c1cd44d,NULL,M1
