SCHOOL_ID,SCHOOL_NAME,ACTIVE_USER_SCORE_SCHOOL,USAGE_SCORE_SCHOOL,CWP_SCORE_SCHOOL,RE_SCORE_SCHOOL,E_SCORE_SCHOOL,ACTIVE_SCHOOL,SCORE_TYPE
5f58d4ebd7f5c56736a01331,SCHOOL 3,20.0,27.0,19.0,20.0,22.0,1,0-25
5f58d6a722a9de32555fb5de,SCHOOL 5,67.0,37.0,75.0,60.0,60.0,1,51-75
5f58d74722a9de32555fb600,SCHOOL 8,57.0,35.0,64.0,54.0,52.0,1,51-75
5f58d81822a9de32555fb60f,SCHOOL 4,41.0,31.0,49.0,41.0,40.0,1,26-50
5f58d8e322a9de32555fb645,SCHOOL 7,52.0,32.0,57.0,49.0,48.0,1,26-50
5f58da1822a9de32555fb670,SCHOOL 9,62.0,33.0,76.0,69.0,60.0,1,51-75
5f58db9022a9de32555fb6a6,SCHOOL 10,73.0,46.0,80.0,80.0,70.0,1,51-75
